Filters,Min Latency,Avg Latency,Max Latency
0,0.27,0.435,0.583
1,0.251,0.345,0.476
500,0.32,0.407,0.475
1000,0.286,0.354,0.47
1500,0.284,0.349,0.445
2000,0.258,0.41,0.529
2500,0.313,0.36,0.472
3000,0.274,0.36,0.469
3500,0.306,0.383,0.477
4000,0.317,0.406,0.491
4500,0.249,0.35,0.433
5000,0.222,0.366,0.463
5500,0.274,0.35,0.49
6000,0.255,0.366,0.498
6500,0.236,0.381,0.521
7000,0.317,0.406,0.473
7500,0.27,0.378,0.456
8000,0.311,0.359,0.446
8500,0.215,0.341,0.445
9000,0.253,0.371,0.483
9500,0.285,0.358,0.423
10000,0.29,0.389,0.506
10500,0.243,0.34,0.431
11000,0.306,0.355,0.451
11500,0.258,0.339,0.453
12000,0.312,0.366,0.423
12500,0.29,0.346,0.432
13000,0.322,0.385,0.46
13500,0.262,0.395,0.456
14000,0.329,0.388,0.445
14500,0.279,0.36,0.507
15000,0.19,0.357,0.471
15500,0.317,0.389,0.433
16000,0.267,0.37,0.445
16500,0.205,0.389,0.505
17000,0.255,0.385,0.497
17500,0.307,0.386,0.433
18000,0.277,0.386,0.465
18500,0.21,0.375,0.501
19000,0.286,0.393,0.562
19500,0.3,0.38,0.457
20000,0.235,0.376,0.449
20500,0.308,0.384,0.612
21000,0.22,0.354,0.468
21500,0.253,0.361,0.444
22000,0.202,0.36,0.508
22500,0.277,0.38,0.441
23000,0.249,0.371,0.479
23500,0.346,0.407,0.597
24000,0.282,0.36,0.427
24500,0.226,0.369,0.496
25000,0.199,0.361,0.509
25500,0.265,0.348,0.457
26000,0.251,0.372,0.471
26500,0.302,0.369,0.492
27000,0.239,0.368,0.426
27500,0.192,0.359,0.483
28000,0.291,0.386,0.49
28500,0.235,0.355,0.524
29000,0.31,0.375,0.432
29500,0.284,0.387,0.483
30000,0.281,0.357,0.461
30500,0.241,0.35,0.451
31000,0.275,0.345,0.462
31500,0.214,0.353,0.448
32000,0.295,0.349,0.45
32500,0.295,0.39,0.486
33000,0.315,0.378,0.483
33500,0.308,0.372,0.442
34000,0.274,0.343,0.465
34500,0.194,0.325,0.42
35000,0.24,0.348,0.453
35500,0.29,0.356,0.425
36000,0.235,0.363,0.442
36500,0.3,0.37,0.44
37000,0.325,0.406,0.478
37500,0.312,0.367,0.431
38000,0.298,0.36,0.406
38500,0.237,0.372,0.475
39000,0.237,0.387,0.508
39500,0.345,0.384,0.436
40000,0.32,0.381,0.461
40500,0.201,0.367,0.475
41000,0.268,0.366,0.474
41500,0.265,0.358,0.569
42000,0.266,0.374,0.436
42500,0.271,0.384,0.454
43000,0.307,0.398,0.544
43500,0.34,0.398,0.452
44000,0.287,0.34,0.435
44500,0.251,0.333,0.41
45000,0.289,0.342,0.455
45500,0.192,0.333,0.438
46000,0.297,0.393,0.685
46500,0.322,0.372,0.503
47000,0.3,0.363,0.48
47500,0.299,0.375,0.48
48000,0.256,0.382,0.458
48500,0.313,0.349,0.405
49000,0.32,0.384,0.511
49500,0.278,0.343,0.464
50000,0.305,0.361,0.506
50500,0.28,0.333,0.398
51000,0.3,0.369,0.442
51500,0.176,0.387,0.465
52000,0.311,0.399,0.584
52500,0.245,0.35,0.455
53000,0.197,0.393,0.462
53500,0.306,0.366,0.54
54000,0.239,0.332,0.428
54500,0.3,0.369,0.546
55000,0.344,0.4,0.583
55500,0.253,0.353,0.426
56000,0.336,0.383,0.455
56500,0.317,0.408,0.494
57000,0.276,0.341,0.445
57500,0.203,0.371,0.412
58000,0.335,0.376,0.472
58500,0.276,0.352,0.48
59000,0.263,0.369,0.455
59500,0.333,0.39,0.559
60000,0.243,0.334,0.462
60500,0.323,0.371,0.418
61000,0.333,0.398,0.479
61500,0.283,0.338,0.458
62000,0.312,0.372,0.428
62500,0.332,0.372,0.425
63000,0.33,0.384,0.467
63500,0.275,0.334,0.414
64000,0.286,0.357,0.584
64500,0.235,0.321,0.401
65000,0.241,0.345,0.567
65500,0.243,0.368,0.464
65534,0.329,0.379,0.436
